unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2
49604481,2021-01-23T12:08:00.000,2021-01-23T13:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11436,145-02 123 AVENUE,123 AVENUE,145 ST,INWOOD ST,ADDRESS,Jamaica,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-01-23T13:15:00.000,12 QUEENS,4120480101,QUEENS,1041381,185295,PHONE,Unspecified,QUEENS,40.675084373851774,-73.79403657456889,"{'latitude': '40.675084373851774', 'longitude': '-73.79403657456889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49606303,2021-01-23T06:19:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10309,4500 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,BEND,ADDRESS,STATEN ISLAND,Open,,,03 STATEN ISLAND,5074650115,STATEN ISLAND,918022,133544,PHONE,Unspecified,STATEN ISLAND,40.53297560051577,-74.2382515060485,"{'latitude': '40.53297560051577', 'longitude': '-74.2382515060485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49596869,2021-01-22T19:24:00.000,2021-01-23T08:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10016,201 EAST   33 STREET,EAST   33 STREET,3 AVE,2 AVE,ADDRESS,NEW YORK,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-01-23T08:45:00.000,06 MANHATTAN,1009140001,MANHATTAN,990273,210672,PHONE,Unspecified,MANHATTAN,40.74492051459423,-73.9782636934084,"{'latitude': '40.74492051459423', 'longitude': '-73.9782636934084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49596600,2021-01-22T16:01:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11226,2902 BEVERLEY ROAD,BEVERLEY ROAD,E 29 ST,NOSTRAND AVE,ADDRESS,BROOKLYN,Open,,,17 BROOKLYN,3051730001,BROOKLYN,998177,174298,PHONE,Unspecified,BROOKLYN,40.64507343391906,-73.94981428723014,"{'latitude': '40.64507343391906', 'longitude': '-73.94981428723014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49590021,2021-01-21T19:33:00.000,2021-01-22T11:20:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11427,88-01 LYMAN STREET,LYMAN STREET,88 AVE,89 AVE,ADDRESS,Queens Village,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-01-22T11:20:00.000,13 QUEENS,4079720067,QUEENS,1058588,205393,PHONE,Unspecified,QUEENS,40.73012063798075,-73.73178196964847,"{'latitude': '40.73012063798075', 'longitude': '-73.73178196964847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49586240,2021-01-21T13:06:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11420,121-08 111 AVENUE,111 AVENUE,121 ST,122 ST,ADDRESS,South Ozone Park,Open,,,10 QUEENS,4116260005,QUEENS,1034347,187453,PHONE,Unspecified,QUEENS,40.68105018373826,-73.81937878576748,"{'latitude': '40.68105018373826', 'longitude': '-73.81937878576748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49586973,2021-01-21T11:44:00.000,2021-01-21T13:05:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11372,34-32 70 STREET,70 STREET,34 AVE,35 AVE,ADDRESS,Jackson Heights,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-01-21T13:05:00.000,03 QUEENS,4012560022,QUEENS,1013055,213140,PHONE,Unspecified,QUEENS,40.75164968710312,-73.89603558046888,"{'latitude': '40.75164968710312', 'longitude': '-73.89603558046888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49576602,2021-01-20T15:31:00.000,2021-01-20T21:10:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11413,225 STREET,225 STREET,131 AVENUE,133 AVENUE,BLOCKFACE,Springfield Gardens,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-01-20T21:10:00.000,13 QUEENS,,QUEENS,1055421,187141,PHONE,Unspecified,QUEENS,40.68004946200496,-73.74340162464055,"{'latitude': '40.68004946200496', 'longitude': '-73.74340162464055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49565998,2021-01-19T11:05:00.000,2021-01-19T11:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11229,2210 EAST   26 STREET,EAST   26 STREET,AVENUE V,AVENUE W,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-01-19T11:30:00.000,15 BROOKLYN,3073830009,BROOKLYN,999475,156917,ONLINE,Unspecified,BROOKLYN,40.597364087593924,-73.94517616611179,"{'latitude': '40.597364087593924', 'longitude': '-73.94517616611179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49565305,2021-01-19T09:57:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11230,949 EAST    8 STREET,EAST    8 STREET,AVENUE I,AVENUE J,ADDRESS,BROOKLYN,Open,,,12 BROOKLYN,3065210073,BROOKLYN,993048,167341,PHONE,Unspecified,BROOKLYN,40.62598453034461,-73.96830562191265,"{'latitude': '40.62598453034461', 'longitude': '-73.96830562191265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49563652,2021-01-19T08:10:00.000,2021-01-19T10:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11692,166 BEACH   61 STREET,BEACH   61 STREET,LARKIN AVE,ROCKAWAY BEACH BLVD,ADDRESS,Arverne,Closed,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-01-19T10:00:00.000,14 QUEENS,4159030001,QUEENS,1042464,154681,ONLINE,Unspecified,QUEENS,40.59104862582951,-73.79039634376524,"{'latitude': '40.59104862582951', 'longitude': '-73.79039634376524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
49561704,2021-01-18T16:21:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11219,,,,,INTERSECTION,BROOKLYN,Open,,,12 BROOKLYN,,BROOKLYN,985557,169674,PHONE,Unspecified,BROOKLYN,40.632392395788386,-73.99529114244247,"{'latitude': '40.632392395788386', 'longitude': '-73.99529114244247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",54 STREET,NEW UTRECHT AVENUE
49562210,2021-01-18T09:23:00.000,2021-01-18T10:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11361,46-17 204 STREET,204 STREET,46 AVE,46 RD,ADDRESS,Bayside,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-01-18T10:50:00.000,11 QUEENS,4073040004,QUEENS,1045768,214519,PHONE,Unspecified,QUEENS,40.75526760306729,-73.77795397051139,"{'latitude': '40.75526760306729', 'longitude': '-73.77795397051139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
